Naive,32,0.119131,0.108996,0.195065
Naive,64,0.118014,0.107575,0.181031
Naive,128,0.116681,0.105926,0.188427
Naive,256,0.116435,0.106074,0.193402
Naive,512,0.116126,0.106115,0.193220
Naive,1024,0.116579,0.106243,0.188542
Naive,32,0.097937,0.095857,0.108616
Naive,64,0.091568,0.091344,0.091735
Naive,128,0.091339,0.091122,0.091981
Naive,256,0.091627,0.091305,0.091863
Naive,512,0.093952,0.093736,0.094124
Naive,1024,0.095037,0.094944,0.095211
Naive,32,0.118733,0.109569,0.200393
Naive,64,0.114961,0.105395,0.188847
Naive,128,0.114883,0.105292,0.190294
Naive,256,0.115152,0.105780,0.187136
Naive,512,0.116033,0.106345,0.183533
Naive,1024,0.116207,0.106495,0.170912
Naive,32,0.109606,0.099429,0.187791
Naive,64,0.095507,0.094937,0.095820
Naive,128,0.096153,0.095125,0.102157
Naive,256,0.096549,0.095598,0.100538
Naive,512,0.097131,0.096291,0.103272
Naive,1024,0.097152,0.096708,0.097385
Naive,32,0.107955,0.098531,0.186754
Naive,64,0.093897,0.093741,0.094094
Naive,128,0.093942,0.093751,0.094266
Naive,256,0.094324,0.094148,0.094658
Naive,512,0.094861,0.094207,0.098398
Naive,1024,0.095494,0.095198,0.096265
Transpose,32,0.094317,0.093258,0.097178
Transpose,64,0.089135,0.088264,0.091223
Transpose,128,0.089121,0.088581,0.089574
Transpose,256,0.089167,0.088447,0.090247
Transpose,512,0.089612,0.089207,0.089975
Transpose,1024,0.094472,0.093490,0.097626
Shmem,32,0.094250,0.093209,0.097057
Shmem,64,0.090895,0.090236,0.091136
Shmem,128,0.090708,0.090052,0.091222
Shmem,256,0.089513,0.088631,0.092685
Shmem,512,0.089850,0.089011,0.093162
Shmem,1024,0.094448,0.093628,0.096881
Shmem,32,0.094457,0.093178,0.096960
Shmem,64,0.091037,0.090198,0.093339
Shmem,128,0.089890,0.089298,0.091063
Shmem,256,0.090597,0.090136,0.091070
Shmem,512,0.091484,0.090695,0.094046
Shmem,1024,0.094956,0.093678,0.097562
Transpose,32,0.093641,0.092721,0.094446
Transpose,64,0.091046,0.090229,0.093381
Transpose,128,0.090788,0.090006,0.093627
Transpose,256,0.091911,0.091032,0.095658
Transpose,512,0.092773,0.092038,0.095879
Transpose,1024,0.096624,0.094339,0.098223
Shmem,32,0.090997,0.090165,0.094227
Shmem,64,0.087006,0.086449,0.088925
Shmem,128,0.086999,0.086394,0.088114
Shmem,256,0.089934,0.088778,0.091438
Shmem,512,0.089761,0.089355,0.090355
Shmem,1024,0.094252,0.092997,0.096766
Transpose,32,0.093071,0.091966,0.095295
Transpose,64,0.089793,0.089203,0.092794
Transpose,128,0.088995,0.088537,0.089884
Transpose,256,0.089562,0.088795,0.092347
Transpose,512,0.089580,0.089074,0.092154
Transpose,1024,0.093346,0.091808,0.094699
Shmem,32,0.088905,0.088593,0.089694
Shmem,64,0.085652,0.085284,0.085997
Shmem,128,0.088316,0.088049,0.088714
Shmem,256,0.088631,0.088318,0.088960
Shmem,512,0.089185,0.088857,0.089536
Shmem,1024,0.089732,0.089446,0.090088
Transpose,32,0.094028,0.092964,0.096841
Transpose,64,0.091084,0.090224,0.093451
Transpose,128,0.090736,0.090127,0.091156
Transpose,256,0.090127,0.088638,0.092132
Transpose,512,0.089594,0.089017,0.089903
Transpose,1024,0.094357,0.093186,0.097246
Shmem,32,0.090217,0.089700,0.090627
Shmem,64,0.086651,0.086006,0.086981
Shmem,128,0.088186,0.087086,0.090600
Shmem,256,0.088239,0.087663,0.088646
Shmem,512,0.088101,0.087519,0.088785
Shmem,1024,0.089448,0.088551,0.092274
Naive,32,0.115211,0.105641,0.184998
Naive,64,0.108121,0.100659,0.172206
Naive,128,0.107563,0.100774,0.167029
Naive,256,0.110076,0.101367,0.186889
Naive,512,0.110124,0.100893,0.189786
Naive,1024,0.108842,0.101656,0.172452
Naive,32,0.114609,0.105472,0.150106
Naive,64,0.110181,0.101121,0.189409
Naive,128,0.109715,0.100694,0.189434
Naive,256,0.110352,0.101403,0.189531
Naive,512,0.110416,0.101729,0.187616
Naive,1024,0.111629,0.102673,0.190612
Naive,32,0.118360,0.109464,0.197575
Naive,64,0.114682,0.105406,0.188903
Naive,128,0.114536,0.105396,0.191072
Naive,256,0.114307,0.104752,0.185871
Naive,512,0.113869,0.104980,0.192224
Naive,1024,0.115350,0.106187,0.188476
Naive,32,0.118170,0.108629,0.196954
Naive,64,0.113149,0.104095,0.190317
Naive,128,0.113213,0.104140,0.192505
Naive,256,0.113835,0.104718,0.187129
Naive,512,0.114296,0.105293,0.193751
Naive,1024,0.115088,0.106158,0.174041
Naive,32,0.117594,0.108220,0.194931
Naive,64,0.112713,0.103621,0.186238
Naive,128,0.112627,0.103814,0.190897
Naive,256,0.113304,0.104300,0.192852
Naive,512,0.114052,0.104859,0.185791
Naive,1024,0.115071,0.105877,0.191124
Transpose,32,0.102282,0.101905,0.104812
Transpose,64,0.099104,0.098981,0.099266
Transpose,128,0.099412,0.099095,0.101774
Transpose,256,0.100503,0.100054,0.103279
Transpose,512,0.099913,0.099558,0.100690
Transpose,1024,0.103081,0.102523,0.104968
Shmem,32,0.099565,0.099149,0.102204
Shmem,64,0.095369,0.094901,0.098201
Shmem,128,0.095630,0.095228,0.098162
Shmem,256,0.096274,0.095726,0.098977
Shmem,512,0.098907,0.098343,0.101464
Shmem,1024,0.099329,0.099119,0.100168
